ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D346H,DECISIONT-MMR-UNICOSRED,0.30241,0.29360,0.29794,4
ROUGE-1,D346H,DECISIONT-MMR-SIMPLERED,0.29042,0.28642,0.28840,4
ROUGE-1,D346H,RF-R-MMR-UNICOSRED,0.29861,0.29781,0.29821,4
ROUGE-1,D346H,LINEAR-R-REL,0.27622,0.27935,0.27778,4
ROUGE-1,D346H,DECISIONT-REL,0.26995,0.26786,0.26890,4
ROUGE-1,D346H,RF-R-REL,0.26988,0.26892,0.26940,4
ROUGE-1,D346H,RF-R-MMR-SIMPLERED,0.27892,0.27900,0.27896,4
ROUGE-1,D346H,LINEAR-R-MMR-SIMPLERED,0.27289,0.27632,0.27459,4
ROUGE-1,D332H,RF-R-MMR-UNICOSRED,0.24620,0.23166,0.23871,4
ROUGE-1,D332H,DECISIONT-MMR-UNICOSRED,0.25118,0.24020,0.24557,4
ROUGE-1,D332H,LINEAR-R-MMR-UNICOSRED,0.28086,0.27083,0.27576,4
ROUGE-1,D332H,DECISIONT-REL,0.27341,0.26594,0.26962,4
ROUGE-1,D332H,LINEAR-R-MMR-SIMPLERED,0.27095,0.26400,0.26743,4
ROUGE-1,D332H,RF-R-MMR-SIMPLERED,0.28154,0.27621,0.27885,4
ROUGE-1,D332H,DECISIONT-MMR-SIMPLERED,0.23991,0.23589,0.23788,4
ROUGE-1,D332H,LINEAR-R-REL,0.25826,0.25100,0.25458,4
ROUGE-1,D332H,RF-R-REL,0.28422,0.27590,0.27999,4
ROUGE-1,D0628A,LINEAR-R-MMR-UNICOSRED,0.34853,0.34325,0.34587,4
ROUGE-1,D0628A,RF-R-MMR-UNICOSRED,0.37717,0.37651,0.37684,4
ROUGE-1,D0628A,DECISIONT-MMR-SIMPLERED,0.35922,0.35138,0.35526,4
ROUGE-1,D0628A,DECISIONT-REL,0.34893,0.33755,0.34314,4
ROUGE-1,D0628A,RF-R-REL,0.35870,0.36134,0.36001,4
ROUGE-1,D0628A,RF-R-MMR-SIMPLERED,0.34757,0.34919,0.34838,4
ROUGE-1,D0628A,DECISIONT-MMR-UNICOSRED,0.33901,0.33039,0.33465,4
ROUGE-1,D0628A,LINEAR-R-MMR-SIMPLERED,0.35103,0.35467,0.35284,4
ROUGE-1,D0628A,LINEAR-R-REL,0.34990,0.34661,0.34825,4
ROUGE-1,D426A,RF-R-REL,0.29368,0.28889,0.29127,9
ROUGE-1,D426A,LINEAR-R-MMR-UNICOSRED,0.27133,0.27100,0.27116,9
ROUGE-1,D426A,DECISIONT-REL,0.25779,0.23720,0.24707,9
ROUGE-1,D426A,RF-R-MMR-SIMPLERED,0.29384,0.27885,0.28615,9
ROUGE-1,D426A,LINEAR-R-MMR-SIMPLERED,0.26773,0.26631,0.26701,9
ROUGE-1,D426A,LINEAR-R-REL,0.27792,0.27960,0.27876,9
ROUGE-1,D426A,DECISIONT-MMR-SIMPLERED,0.29793,0.28828,0.29303,9
ROUGE-1,D426A,RF-R-MMR-UNICOSRED,0.31233,0.30959,0.31095,9
ROUGE-1,D426A,DECISIONT-MMR-UNICOSRED,0.28696,0.28336,0.28515,9
ROUGE-1,D0607G,LINEAR-R-MMR-UNICOSRED,0.30031,0.30080,0.30056,4
ROUGE-1,D0607G,LINEAR-R-REL,0.30928,0.30253,0.30587,4
